# csv 파일 용량이 커서 일부분만 올렸습니다!
  INDIVIDUAL_ID	ACCT_SUSPD_DATE
221302577308.0	2022-10-09
221302825760.0	2022-04-24
221302678990.0	2022-05-21
221300210549.0	2022-04-27
221302553479.0	2022-09-16
221302618348.0	2022-09-27
221302438079.0	2022-11-23
221301341770.0	2022-10-30
221302429022.0	2022-04-24
221301198249.0	2022-01-21
221300394034.0	2022-01-16
221302875536.0	2022-10-28
221302879809.0	2022-01-26
221302796712.0	2022-10-14
221300056376.0	2022-09-28
221300635619.0	2022-09-12
221300175207.0	2022-11-30
221302144817.0	2022-09-08
221301093845.0	2022-05-26
221300865824.0	2022-03-19
221301769242.0	2022-04-21
221300337300.0	2022-10-20
221300003117.0	2022-03-13
221302242294.0	2022-07-17
221302633587.0	2022-05-29
221301833305.0	2022-07-14
221300354347.0	2022-11-22
221300407355.0	2022-09-12
221301376651.0	2022-09-09
221302196174.0	2022-03-14
221303071574.0	2022-05-31
221302648975.0	2022-02-28
221302259116.0	2022-08-17
221300488748.0	2022-11-26
221300105671.0	2022-01-11
221302913270.0	2022-05-18
221301946296.0	2022-03-20
221300181756.0	2022-08-21
221303154189.0	2022-10-11
221301777404.0	2022-07-13
221301096699.0	2022-03-27
221300578580.0	2022-04-13
221301884747.0	2022-02-11
221303108219.0	2022-08-28
221301166341.0	2022-07-24
221300764372.0	2022-08-09
221300826022.0	2022-02-20
221301017665.0	2022-11-11
221303084222.0	2022-11-27
221301520387.0	2022-06-11
221302821984.0	2022-05-09
221302077715.0	2022-03-19
221301143376.0	2022-02-15
221301371902.0	2021-12-13
221300916347.0	2022-03-20
221303280848.0	2022-10-18
221301639234.0	2022-02-25
221301545952.0	2022-01-09
221301745539.0	2022-05-22
221302949117.0	2022-10-30
221303037879.0	2022-11-11
221300676386.0	2022-03-15
221302293953.0	2022-10-18
221302252573.0	2022-11-26
221302731464.0	2022-01-15
221302717191.0	2022-03-31
221301428115.0	2022-10-16
221302981901.0	2022-04-19
221301524881.0	2021-12-16
221300613139.0	2022-08-20
221301176311.0	2022-04-01
221301596826.0	2022-04-29
221303010602.0	2022-10-30
221303244685.0	2022-09-12
221300313102.0	2022-01-24
221302561546.0	2022-08-28
221300384144.0	2022-09-23
221303107240.0	2022-10-23
221301929423.0	2022-03-18
221300279333.0	2022-08-17
221301283171.0	2022-05-19
221302407455.0	2022-10-20
221301683865.0	2022-11-23
221300305937.0	2021-12-24
221303080417.0	2022-11-24
221302076936.0	2022-06-26
221302808509.0	2022-01-22
221302801822.0	2022-10-16
221303150491.0	2022-10-24
221303121236.0	2022-03-16
221300277903.0	2022-02-12
221302789589.0	2022-01-15
221300511284.0	2022-04-14
221300873088.0	2022-02-18
221302398145.0	2022-07-26
221301496345.0	2022-08-18
221300308308.0	2022-09-27
221301684308.0	2022-03-01
221302379916.0	2022-11-13
221301775447.0	2022-04-13
221303157018.0	2022-05-02
221302592961.0	2022-08-31
221301981073.0	2022-03-16
221302417315.0	2021-12-09
221302804204.0	2022-11-12
221302982880.0	2022-11-28
221302782230.0	2022-01-27
221301852410.0	2022-06-09
221300527966.0	2022-04-16
221301183425.0	2022-01-22
221301157970.0	2022-08-09
221300905197.0	2022-04-17
221301527425.0	2022-11-21
221300671526.0	2022-08-15
221301240555.0	2022-01-23
221302469744.0	2022-04-26
221300177123.0	2022-10-14
221302966400.0	2022-06-19
221302415324.0	2022-04-23
221302743264.0	2022-08-10
221301298811.0	2022-03-14
221301863790.0	2022-01-27
221302641542.0	2022-05-27
221301909329.0	2021-12-20
221303050454.0	2022-06-17
221302738503.0	2022-08-12
221302811716.0	2022-06-21
221301010002.0	2022-02-12
221302460744.0	2022-07-29
221300895718.0	2022-03-21
221300318912.0	2022-08-26
221300386491.0	2022-07-21
221300315984.0	2022-01-28
221301971607.0	2022-11-25
221301251839.0	2022-02-25
221302889402.0	2022-05-20
221302725483.0	2021-12-14
221301254974.0	2022-07-02
221301117443.0	2022-09-12
221301949180.0	2022-01-01
221300201551.0	2022-11-30
221302143227.0	2022-03-27
221300271758.0	2022-06-12
221300319275.0	2022-09-17
221300724387.0	2022-07-17
221300781273.0	2021-12-22
221301563021.0	2022-03-31
221303249262.0	2022-10-30
221300328348.0	2022-08-14
221300984805.0	2022-11-25
221302634040.0	2022-04-18
221301181467.0	2022-02-01
221303197526.0	2022-02-25
221300339817.0	2022-11-29
221300803920.0	2022-10-10
221302980579.0	2022-01-02
221302462578.0	2022-03-28
221300047926.0	2022-08-20
221300715297.0	2022-02-02
221300751906.0	2022-09-19
221302311133.0	2021-12-19
221303054914.0	2022-12-02
221302838986.0	2022-02-22
221301722131.0	2022-10-02
221302055364.0	2022-07-30
221302003956.0	2022-01-27
221300310196.0	2022-10-27
221303239136.0	2022-02-16
221301837991.0	2022-06-23
221301921028.0	2022-03-21
221301607002.0	2022-03-20
221302756334.0	2022-09-21
221300563634.0	2022-04-25
221303051761.0	2022-10-11
221302268234.0	2022-09-14
221302983856.0	2022-04-02
221302248030.0	2022-03-15
221300024360.0	2022-10-01
221300157754.0	2022-11-02
221303112942.0	2022-05-30
221302193144.0	2022-09-17
221300144226.0	2022-07-02
221301861277.0	2022-02-13
221301147520.0	2022-03-28
221302436105.0	2022-09-17
221301457004.0	2022-08-13
221300500884.0	2022-03-18
221302198339.0	2022-03-21
221303280012.0	2022-02-18
221301080253.0	2022-07-18
221302093410.0	2021-12-10
221301181426.0	2022-09-23
221300845870.0	2022-09-14
221300330401.0	2022-05-20
221302761542.0	2022-09-20
221302882000.0	2022-07-21
221302860253.0	2022-06-22
221302702402.0	2022-09-27
221302975554.0	2022-01-12
221301026005.0	2022-02-22
